country,capital
Morocco,Rabat
Algeria,Algiers
Libya,Tripoli
Tunisia,Tunis
Egypt,Cairo
South Sudan,Juba
Sudan,Khartoum
Cameroon,Yaounde
Central African Republic,Bangui
Chad,N'Djamena
Gabon,Libreville
Republic of the Congo,Brazzaville
Democratic Republic of the Congo,Kinshasa
Guinea,Conakry
Equatorial Guinea,Malabo
Guinea-Bissau,Bissau
Benin,Porto-Novo
Burkina Faso,Ouagadougou
Cote d'Ivoire,Yamoussoukro
Mali,Bamako
Niger,Niamey
Senegal,Dakar
Togo,Lomé
Burundi,Bujumbura
Comoros,Moroni
Djibouti,Djibouti
Rwanda,Kigali
Kenya,Nairobi
Somalia,Mogadishu
Tanzania,Dodoma
Uganda,Kampala
Liberia,Monrovia
Namibia,Windhoek
Zimbabwe,Harare
Mauritius,Port Louis
Seychelles,Victoria
Malawi,Lilongwe
Zambia,Lusaka
Angola,Luanda
Botswana,Gaborone
Eritrea,Asmara
Ethiopia,Addis Ababa
Gambia,Banjul
Ghana,Accra
Lesotho,Maseru
Madagascar,Antananarivo
Mauritania,Nouakchott
Mozambique,Maputo
Nigeria,Abuja
Sierra Leone,Freetown
South Africa,Pretoria
Swaziland,Mbabane
Cabo Verde,Praia
Sao Tome and Principe,Sao Tome
